date,branch_id,branch_name,city,total_orders,total_customers,dine_in_orders,takeaway_orders,gross_revenue,discount_amount,net_revenue,food_cost,packaging_cost,labor_cost,overhead_cost,marketing_cost,total_cost,gross_profit,gross_margin_pct,avg_order_value,avg_prep_time_min,complaints_count,refunds_amount
2025-01-28,B001,Falcon QSR Karachi,Karachi,350,369,192,158,259910.0,7827.95,252082.05,194530.52,21169.0,205.56,157.53,0.0,218323.02,33759.02,0.1339,720.23,14.21,14,2260.41
2025-01-29,B001,Falcon QSR Karachi,Karachi,369,403,217,152,311835.0,10052.36,301782.64,232822.94,21284.0,213.41,162.41,0.0,256303.55,45479.08,0.1507,817.84,13.91,4,1820.79
2025-01-30,B001,Falcon QSR Karachi,Karachi,384,407,217,167,274205.0,17335.39,256869.61,203155.81,21646.0,218.44,168.51,0.0,227012.51,29857.1,0.1162,668.93,11.25,11,1823.74
2025-01-31,B001,Falcon QSR Karachi,Karachi,327,352,142,185,271515.0,9468.34,262046.66,202813.05,22542.0,220.18,165.96,0.0,227442.48,34604.19,0.1321,801.37,15.04,8,1701.28
2025-02-01,B001,Falcon QSR Karachi,Karachi,436,486,232,204,354115.0,14968.34,339146.66,263869.06,27846.0,218.54,163.18,9185.43,306434.75,32711.91,0.0965,777.86,17.51,10,5152.54
2025-02-02,B001,Falcon QSR Karachi,Karachi,425,457,229,196,322855.0,20284.97,302570.03,241455.85,26228.0,237.72,152.37,5473.15,274669.7,27900.33,0.0922,711.93,15.39,11,1122.6
2025-02-03,B001,Falcon QSR Karachi,Karachi,318,359,183,135,268870.0,11683.31,257186.69,204845.95,19600.0,213.81,163.07,6159.26,233269.55,23917.14,0.093,808.76,15.36,3,2287.45
2025-02-04,B001,Falcon QSR Karachi,Karachi,319,334,173,146,249735.0,10495.54,239239.46,187697.94,19363.0,221.68,157.69,4814.3,214359.38,24880.08,0.104,749.97,13.29,5,2104.76
2025-02-05,B001,Falcon QSR Karachi,Karachi,329,354,185,144,252540.0,14992.51,237547.49,189178.04,20086.0,202.88,163.56,5949.69,216723.62,20823.87,0.0877,722.03,12.49,8,1143.46
2025-02-06,B001,Falcon QSR Karachi,Karachi,320,348,191,129,265450.0,16188.1,249261.9,198957.73,19169.0,208.05,153.71,9571.55,229312.79,19949.11,0.08,778.94,13.05,5,1252.76
2025-02-07,B001,Falcon QSR Karachi,Karachi,342,377,210,132,262225.0,14641.1,247583.9,196941.03,19538.0,240.2,155.34,8740.74,227517.25,20066.65,0.081,723.93,14.6,10,1901.93
2025-02-08,B001,Falcon QSR Karachi,Karachi,411,435,216,195,346760.0,29366.16,317393.84,261034.21,26480.0,238.13,152.6,3298.44,292352.87,25040.97,0.0789,772.25,17.39,4,1149.5
2025-02-09,B001,Falcon QSR Karachi,Karachi,416,458,233,183,285505.0,17371.71,268133.29,210896.12,23813.0,217.57,161.31,5737.48,243072.8,25060.49,0.0935,644.55,16.5,5,2247.32
2025-02-10,B001,Falcon QSR Karachi,Karachi,357,380,195,162,284470.0,13735.43,270734.57,212315.92,22288.0,219.59,150.38,4754.57,241888.75,28845.82,0.1065,758.36,12.73,13,2160.28
2025-02-11,B001,Falcon QSR Karachi,Karachi,288,302,117,171,253355.0,19928.35,233426.65,187571.85,20605.0,202.67,158.88,7999.1,219213.73,14212.92,0.0609,810.51,14.46,4,2676.24
2025-02-12,B001,Falcon QSR Karachi,Karachi,321,346,185,136,287275.0,13552.21,273722.79,215792.21,20179.0,205.32,163.32,8380.86,247038.55,26684.24,0.0975,852.72,13.44,9,2317.84
2025-02-13,B001,Falcon QSR Karachi,Karachi,307,322,161,146,240245.0,10961.66,229283.34,181421.69,19253.0,217.9,155.69,7548.74,211055.86,18227.48,0.0795,746.85,14.91,6,2458.86
2025-02-14,B001,Falcon QSR Karachi,Karachi,307,328,172,135,271755.0,15044.92,256710.08,203243.08,19524.0,224.71,152.03,2950.96,228340.45,28369.63,0.1105,836.19,19.18,8,2245.66
2025-02-15,B001,Falcon QSR Karachi,Karachi,411,441,241,170,362305.0,20404.23,341900.77,271291.01,25492.0,233.8,154.26,5102.8,305498.2,36402.57,0.1065,831.88,14.59,4,3224.34
2025-02-16,B001,Falcon QSR Karachi,Karachi,428,462,229,199,337415.0,22446.31,314968.69,249364.86,26604.0,226.68,150.36,5927.75,286539.36,28429.34,0.0903,735.91,18.84,12,4265.71
2025-02-17,B001,Falcon QSR Karachi,Karachi,362,401,198,164,279710.0,18429.3,261280.7,209754.69,21884.0,214.53,162.11,9061.97,242594.7,18686.01,0.0715,721.77,13.46,10,1517.4
2025-02-18,B001,Falcon QSR Karachi,Karachi,292,317,171,121,205275.0,13528.0,191747.0,152238.56,16221.0,212.88,150.88,8676.6,178918.91,12828.09,0.0669,656.67,17.08,5,1418.99
2025-02-19,B001,Falcon QSR Karachi,Karachi,337,368,196,141,241385.0,18488.35,222896.65,179361.02,18469.0,219.49,155.9,6074.02,206145.34,16751.32,0.0752,661.41,13.5,10,1865.91
2025-02-20,B001,Falcon QSR Karachi,Karachi,301,321,171,130,222830.0,9747.66,213082.34,166069.94,18025.0,212.22,161.45,8136.62,192999.65,20082.69,0.0942,707.91,11.06,5,394.43
2025-02-21,B001,Falcon QSR Karachi,Karachi,319,357,190,129,227300.0,17457.64,209842.36,166929.57,17466.0,239.07,155.56,5542.34,191844.28,17998.09,0.0858,657.81,12.9,4,1511.74
2025-02-22,B001,Falcon QSR Karachi,Karachi,375,397,217,158,300545.0,13373.19,287171.81,231572.8,22042.0,214.13,157.6,8201.44,264809.19,22362.62,0.0779,765.79,17.2,10,2621.22
2025-02-23,B001,Falcon QSR Karachi,Karachi,405,436,230,175,320790.0,10527.56,310262.44,243168.32,24328.0,219.18,152.59,7824.15,277903.85,32358.59,0.1043,766.08,13.64,7,2211.61
2025-02-24,B001,Falcon QSR Karachi,Karachi,342,358,188,154,278065.0,5794.98,272270.02,204860.38,21625.0,207.76,160.72,6819.43,236889.62,35380.4,0.1299,796.11,14.24,6,3216.34
2025-02-25,B001,Falcon QSR Karachi,Karachi,360,403,206,154,263965.0,11726.07,252238.93,195437.97,20905.0,203.49,151.82,9682.96,229067.56,23171.37,0.0919,700.66,9.39,4,2686.33
2025-02-26,B001,Falcon QSR Karachi,Karachi,295,318,134,161,223030.0,16655.52,206374.48,165845.34,19294.0,220.69,161.1,4923.83,192088.94,14285.54,0.0692,699.57,11.58,4,1643.99
2025-02-27,B001,Falcon QSR Karachi,Karachi,346,372,190,156,245305.0,12903.43,232401.57,181442.5,19791.0,209.0,156.22,6596.82,210207.39,22194.18,0.0955,671.68,15.72,5,2011.86
2025-02-28,B001,Falcon QSR Karachi,Karachi,372,418,201,171,320490.0,20125.31,300364.69,242097.45,23836.0,216.19,157.77,9256.37,277268.09,23096.6,0.0769,807.43,17.6,6,1704.31
2025-03-01,B001,Falcon QSR Karachi,Karachi,472,521,215,257,429100.0,16934.3,412165.7,325303.47,32831.0,233.05,153.4,0.0,359794.82,52370.88,0.1271,873.23,17.11,12,1273.91
2025-03-02,B001,Falcon QSR Karachi,Karachi,557,608,280,277,470685.0,21486.68,449198.32,348547.47,36416.0,236.02,162.01,0.0,387502.78,61695.54,0.1373,806.46,16.34,10,2141.28
2025-03-03,B001,Falcon QSR Karachi,Karachi,433,453,207,226,353825.0,21381.53,332443.47,263752.76,29520.0,222.28,157.9,0.0,297156.45,35287.01,0.1061,767.77,15.59,10,3503.51
2025-03-04,B001,Falcon QSR Karachi,Karachi,391,420,199,192,290890.0,10696.5,280193.5,218752.72,23906.0,218.94,155.93,0.0,244643.72,35549.78,0.1269,716.61,11.3,6,1610.12
2025-03-05,B001,Falcon QSR Karachi,Karachi,376,400,180,196,332085.0,5220.53,326864.47,249917.28,26113.0,216.38,162.66,0.0,277415.47,49449.0,0.1513,869.32,13.2,7,1006.15
2025-03-06,B001,Falcon QSR Karachi,Karachi,386,406,188,198,327805.0,16942.51,310862.49,249731.76,25988.0,218.83,160.44,0.0,279018.93,31843.56,0.1024,805.34,16.23,8,2919.89
2025-03-07,B001,Falcon QSR Karachi,Karachi,385,427,189,196,278670.0,8380.75,270289.25,207524.12,24330.0,238.99,155.64,0.0,234192.69,36096.56,0.1335,702.05,14.99,10,1943.93
2025-03-08,B001,Falcon QSR Karachi,Karachi,464,520,225,239,411955.0,21048.59,390906.41,308272.11,31433.0,220.59,161.92,0.0,343333.18,47573.23,0.1217,842.47,20.12,11,3245.57
2025-03-09,B001,Falcon QSR Karachi,Karachi,450,485,215,235,350695.0,22184.4,328510.6,263385.33,29501.0,236.35,161.53,0.0,296274.59,32236.01,0.0981,730.02,17.69,11,2990.39
2025-03-10,B001,Falcon QSR Karachi,Karachi,394,406,187,207,300755.0,12369.08,288385.92,221041.75,25655.0,209.62,150.39,0.0,250107.73,38278.19,0.1327,731.94,11.04,9,3050.98
2025-03-11,B001,Falcon QSR Karachi,Karachi,388,417,194,194,260435.0,12139.71,248295.29,191137.99,22484.0,203.25,151.12,0.0,215545.56,32749.73,0.1319,639.94,14.19,8,1569.2
2025-03-12,B001,Falcon QSR Karachi,Karachi,418,436,196,222,322770.0,15108.27,307661.73,242337.04,26830.0,212.18,153.53,0.0,271641.69,36020.04,0.1171,736.03,15.77,8,2108.95
2025-03-13,B001,Falcon QSR Karachi,Karachi,358,381,179,179,303765.0,11286.25,292478.75,225671.94,23170.0,218.01,151.94,0.0,251004.09,41474.67,0.1418,816.98,14.7,7,1792.2
2025-03-14,B001,Falcon QSR Karachi,Karachi,381,418,175,206,292405.0,9897.89,282507.11,216744.91,24476.0,219.55,155.16,0.0,243607.48,38899.63,0.1377,741.49,17.33,4,2011.85
2025-03-15,B001,Falcon QSR Karachi,Karachi,397,422,161,236,349620.0,9148.12,340471.88,260602.23,28440.0,231.12,152.65,0.0,293128.95,47342.93,0.1391,857.61,18.25,9,3702.94
2025-03-16,B001,Falcon QSR Karachi,Karachi,476,530,241,235,370625.0,5296.11,365328.89,271359.77,30056.0,222.23,158.51,0.0,304636.41,60692.48,0.1661,767.5,19.25,9,2839.92
2025-03-17,B001,Falcon QSR Karachi,Karachi,404,436,192,212,301540.0,7647.2,293892.8,223372.46,25104.0,224.68,158.55,0.0,250450.47,43442.33,0.1478,727.46,15.33,8,1590.77
2025-03-18,B001,Falcon QSR Karachi,Karachi,376,413,173,203,293060.0,14574.13,278485.87,218385.06,24039.0,205.27,156.36,0.0,244871.27,33614.6,0.1207,740.65,16.33,14,2085.58
2025-03-19,B001,Falcon QSR Karachi,Karachi,357,377,172,185,286970.0,14559.52,272410.48,216536.97,22902.0,206.93,154.94,0.0,242450.93,29959.55,0.11,763.05,13.81,6,2650.09
2025-03-20,B001,Falcon QSR Karachi,Karachi,360,381,164,196,281295.0,17355.49,263939.51,209419.96,23955.0,214.9,163.55,0.0,235675.93,28263.58,0.1071,733.17,10.64,8,1922.52
2025-03-21,B001,Falcon QSR Karachi,Karachi,358,382,163,195,261925.0,5270.9,256654.1,194343.94,22409.0,237.65,154.82,0.0,217927.7,38726.4,0.1509,716.91,15.08,10,782.28
2025-03-22,B001,Falcon QSR Karachi,Karachi,448,500,219,229,332045.0,11870.51,320174.49,241713.11,27907.0,237.38,163.29,0.0,272311.61,47862.87,0.1495,714.68,13.5,8,2290.84
2025-03-23,B001,Falcon QSR Karachi,Karachi,420,439,162,258,392445.0,14254.54,378190.46,292632.47,31922.0,235.35,162.99,0.0,328119.47,50070.99,0.1324,900.45,16.66,10,3166.65
2025-03-24,B001,Falcon QSR Karachi,Karachi,392,426,179,213,320825.0,15198.69,305626.31,238678.19,26948.0,199.64,159.79,0.0,269869.81,35756.5,0.117,779.66,15.99,7,3884.19
2025-03-25,B001,Falcon QSR Karachi,Karachi,366,372,142,224,265805.0,13875.19,251929.81,198997.93,25193.0,226.54,160.65,0.0,226408.72,25521.09,0.1013,688.33,17.52,9,1830.61
2025-03-26,B001,Falcon QSR Karachi,Karachi,363,396,167,196,329950.0,17034.3,312915.7,245163.25,25697.0,212.58,158.46,0.0,272321.7,40594.0,0.1297,862.03,15.99,8,1090.41
2025-03-27,B001,Falcon QSR Karachi,Karachi,426,438,215,211,323880.0,7717.55,316162.45,241719.95,26378.0,208.48,160.28,0.0,271191.53,44970.92,0.1422,742.17,12.89,4,2724.84
2025-03-28,B001,Falcon QSR Karachi,Karachi,444,486,193,251,380650.0,14774.93,365875.07,286500.84,31572.0,237.81,150.52,0.0,321723.72,44151.35,0.1207,824.04,15.9,10,3262.55
2025-03-29,B001,Falcon QSR Karachi,Karachi,445,450,173,272,367310.0,11235.32,356074.68,280638.74,31438.0,227.53,162.54,0.0,316390.67,39684.0,0.1114,800.17,15.9,9,3923.86
2025-03-30,B001,Falcon QSR Karachi,Karachi,501,530,256,245,378910.0,22365.63,356544.37,284996.69,30260.0,227.31,157.12,0.0,318928.13,37616.23,0.1055,711.67,17.99,10,3287.01
2025-03-31,B001,Falcon QSR Karachi,Karachi,400,437,201,199,310585.0,9703.71,300881.29,230333.55,24582.0,222.99,160.85,0.0,257605.5,43275.79,0.1438,752.2,13.27,10,2306.11
2025-04-01,B001,Falcon QSR Karachi,Karachi,383,389,171,212,331975.0,11142.04,320832.96,240835.52,26949.0,218.9,159.06,0.0,270966.98,49865.98,0.1554,837.68,13.76,8,2804.5
2025-04-02,B001,Falcon QSR Karachi,Karachi,372,389,151,221,308730.0,10791.58,297938.42,234726.9,25754.0,210.54,153.29,0.0,263618.06,34320.36,0.1152,800.91,16.49,4,2773.33
2025-04-03,B001,Falcon QSR Karachi,Karachi,464,489,218,246,430070.0,13115.06,416954.94,318789.86,32194.0,213.86,161.93,0.0,354955.44,61999.5,0.1487,898.61,13.2,10,3595.79
2025-04-04,B001,Falcon QSR Karachi,Karachi,400,446,200,200,335815.0,15241.12,320573.88,246182.19,25520.0,218.35,152.18,0.0,273649.13,46924.75,0.1464,801.43,15.56,8,1576.4
2025-04-05,B001,Falcon QSR Karachi,Karachi,477,521,232,245,386125.0,16770.94,369354.06,290436.55,30425.0,225.72,164.22,0.0,325154.28,44199.78,0.1197,774.33,14.07,10,3902.79
2025-04-06,B001,Falcon QSR Karachi,Karachi,446,482,218,228,348075.0,17634.2,330440.8,258994.59,28875.0,233.14,163.22,0.0,290550.75,39890.05,0.1207,740.9,17.92,16,2284.8
2025-04-07,B001,Falcon QSR Karachi,Karachi,368,401,176,192,295515.0,8400.41,287114.59,221508.25,24008.0,207.83,158.69,0.0,248022.65,39091.94,0.1362,780.2,18.76,9,2139.87
2025-04-08,B001,Falcon QSR Karachi,Karachi,355,388,166,189,302915.0,14037.22,288877.78,225765.34,24053.0,199.8,163.43,0.0,252270.23,36607.55,0.1267,813.74,17.59,5,2088.67
2025-04-09,B001,Falcon QSR Karachi,Karachi,373,405,173,200,283210.0,12295.83,270914.17,207246.86,24588.0,205.94,152.19,0.0,234772.84,36141.32,0.1334,726.31,16.47,13,2579.84
2025-04-10,B001,Falcon QSR Karachi,Karachi,405,449,197,208,354640.0,9706.47,344933.53,264668.87,27844.0,213.97,158.47,0.0,295409.74,49523.78,0.1436,851.69,17.7,9,2524.43
2025-04-11,B001,Falcon QSR Karachi,Karachi,384,405,196,188,279215.0,16220.19,262994.81,206636.92,22227.0,226.36,153.0,0.0,230438.62,32556.19,0.1238,684.88,15.74,10,1195.34
2025-04-12,B001,Falcon QSR Karachi,Karachi,465,516,226,239,388185.0,22643.63,365541.37,291362.03,30018.0,223.49,154.82,0.0,324547.31,40994.06,0.1121,786.11,14.22,11,2788.97
2025-04-13,B001,Falcon QSR Karachi,Karachi,388,409,202,186,301570.0,18403.94,283166.06,225028.97,24338.0,225.21,157.64,0.0,252001.19,31164.87,0.1101,729.81,13.51,4,2251.38
2025-04-14,B001,Falcon QSR Karachi,Karachi,302,340,176,126,211070.0,10608.69,200461.31,156502.39,16876.0,225.43,162.6,0.0,175393.03,25068.28,0.1251,663.78,17.66,8,1626.61
2025-04-15,B001,Falcon QSR Karachi,Karachi,330,346,195,135,272370.0,15930.9,256439.1,203347.14,20153.0,217.61,152.12,0.0,225186.68,31252.43,0.1219,777.09,11.7,6,1316.81
2025-04-16,B001,Falcon QSR Karachi,Karachi,346,383,193,153,295605.0,9088.51,286516.49,227098.85,21889.0,207.3,154.8,0.0,250055.11,36461.37,0.1273,828.08,14.44,12,705.16
2025-04-17,B001,Falcon QSR Karachi,Karachi,356,382,187,169,309440.0,11477.32,297962.68,229285.15,23411.0,200.79,162.16,0.0,254815.34,43147.34,0.1448,836.97,16.92,11,1756.24
2025-04-18,B001,Falcon QSR Karachi,Karachi,348,359,190,158,259625.0,5788.94,253836.06,195515.17,20358.0,221.8,155.18,0.0,218294.27,35541.79,0.14,729.41,18.24,5,2044.11
2025-04-19,B001,Falcon QSR Karachi,Karachi,398,450,216,182,361980.0,20478.86,341501.14,275491.53,26433.0,234.86,153.39,0.0,304638.75,36862.38,0.1079,858.04,16.32,9,2325.97
2025-04-20,B001,Falcon QSR Karachi,Karachi,408,444,229,179,329905.0,15101.53,314803.47,241566.88,24544.0,222.21,159.69,0.0,269981.79,44821.68,0.1424,771.58,16.14,13,3489.0
2025-04-21,B001,Falcon QSR Karachi,Karachi,355,371,202,153,263195.0,16511.61,246683.39,197243.55,20716.0,218.92,160.95,0.0,220093.62,26589.77,0.1078,694.88,17.79,7,1754.2
2025-04-22,B001,Falcon QSR Karachi,Karachi,326,357,181,145,268080.0,13382.56,254697.44,198556.16,20276.0,208.74,157.52,0.0,222256.43,32441.01,0.1274,781.28,16.46,11,3058.01
2025-04-23,B001,Falcon QSR Karachi,Karachi,345,363,189,156,271405.0,13257.71,258147.29,203691.39,21143.0,210.05,162.85,0.0,227784.89,30362.4,0.1176,748.25,15.93,8,2577.61
2025-04-24,B001,Falcon QSR Karachi,Karachi,336,356,175,161,256305.0,8830.38,247474.62,189660.45,20992.0,204.22,161.71,0.0,213970.08,33504.54,0.1354,736.53,9.37,5,2951.7
2025-04-25,B001,Falcon QSR Karachi,Karachi,322,336,189,133,218580.0,14540.38,204039.62,163131.28,17531.0,217.05,164.11,0.0,182892.17,21147.45,0.1036,633.66,17.83,7,1848.73
2025-04-26,B001,Falcon QSR Karachi,Karachi,419,447,233,186,320765.0,13539.81,307225.19,241734.5,25400.0,233.27,153.9,0.0,268966.75,38258.45,0.1245,733.23,13.71,10,1445.08
2025-04-27,B001,Falcon QSR Karachi,Karachi,425,446,246,179,320405.0,15630.42,304774.58,234603.98,25042.0,221.83,158.43,0.0,262875.29,41899.29,0.1375,717.12,19.96,8,2849.05
2025-04-28,B001,Falcon QSR Karachi,Karachi,369,410,201,168,276325.0,15900.83,260424.17,208154.16,22466.0,200.67,160.3,0.0,234795.13,25629.04,0.0984,705.76,16.33,5,3813.99
2025-04-29,B001,Falcon QSR Karachi,Karachi,365,405,210,155,271645.0,9950.09,261694.91,204014.4,21393.0,217.76,153.25,0.0,227972.4,33722.52,0.1289,716.97,15.0,9,2193.99
2025-04-30,B001,Falcon QSR Karachi,Karachi,365,396,202,163,320210.0,10372.65,309837.35,240682.3,23156.0,213.33,151.41,0.0,266255.13,43582.21,0.1407,848.87,18.32,11,2052.1
2025-05-01,B001,Falcon QSR Karachi,Karachi,288,306,138,150,224340.0,15430.04,208909.96,168246.16,18867.0,211.46,172.62,9524.05,198429.06,10480.9,0.0502,725.38,16.56,7,1407.77
2025-05-02,B001,Falcon QSR Karachi,Karachi,382,409,219,163,290275.0,14124.76,276150.24,211536.6,22891.0,215.52,167.9,9136.7,246109.35,30040.89,0.1088,722.91,15.81,7,2161.64
2025-05-03,B001,Falcon QSR Karachi,Karachi,474,537,264,210,312870.0,11576.23,301293.77,232740.73,26564.0,239.66,166.14,3638.5,264894.09,36399.68,0.1208,635.64,16.24,6,1545.05
2025-05-04,B001,Falcon QSR Karachi,Karachi,410,435,227,183,313480.0,29887.75,283592.25,232415.83,25436.0,213.61,169.55,3383.88,263615.26,19976.98,0.0704,691.69,9.45,12,1996.39
2025-05-05,B001,Falcon QSR Karachi,Karachi,319,362,180,139,225760.0,7940.44,217819.56,164884.87,18822.0,207.63,171.83,7076.25,193142.42,24677.14,0.1133,682.82,15.35,10,1979.83
2025-05-06,B001,Falcon QSR Karachi,Karachi,292,314,129,163,199925.0,10066.31,189858.69,143728.38,19308.0,205.55,169.04,4788.46,169914.3,19944.39,0.105,650.2,11.23,8,1714.88
2025-05-07,B001,Falcon QSR Karachi,Karachi,341,387,193,148,270355.0,16330.43,254024.57,197919.69,20364.0,224.34,171.62,4426.12,225874.38,28150.19,0.1108,744.94,12.88,6,2768.62
2025-05-08,B001,Falcon QSR Karachi,Karachi,323,332,173,150,241545.0,12793.49,228751.51,174922.17,19564.0,208.64,175.64,9176.93,206464.31,22287.21,0.0974,708.21,17.34,7,2416.92
2025-05-09,B001,Falcon QSR Karachi,Karachi,349,384,193,156,244215.0,11960.79,232254.21,179340.78,20497.0,233.89,172.06,6945.89,209417.86,22836.35,0.0983,665.48,16.38,9,2228.24
2025-05-10,B001,Falcon QSR Karachi,Karachi,371,403,199,172,277975.0,18669.39,259305.61,202607.7,22712.0,226.59,170.33,4713.01,232061.55,27244.06,0.1051,698.94,15.51,7,1631.92
2025-05-11,B001,Falcon QSR Karachi,Karachi,395,429,215,180,312105.0,8495.85,303609.15,229767.74,24235.0,225.41,170.49,7358.54,264847.09,38762.06,0.1277,768.63,14.62,9,3089.91
2025-05-12,B001,Falcon QSR Karachi,Karachi,327,353,189,138,265250.0,12158.81,253091.19,197346.23,19691.0,225.47,178.21,5356.72,224713.48,28377.71,0.1121,773.98,13.54,7,1915.85
2025-05-13,B001,Falcon QSR Karachi,Karachi,341,365,188,153,271525.0,9833.89,261691.11,199943.92,20632.0,223.82,173.46,8259.2,232681.41,29009.7,0.1109,767.42,15.6,4,3449.01
2025-05-14,B001,Falcon QSR Karachi,Karachi,306,324,145,161,269385.0,13749.5,255635.5,196260.17,21782.0,203.61,173.39,8161.0,230129.91,25505.58,0.0998,835.41,15.08,4,3549.74
