expense_id,date,branch_id,expense_type,amount
EXP0000000061,2025-01-07,B004,marketing,3483.93
EXP0000000062,2025-01-07,B005,purchase,4793.45
EXP0000000063,2025-01-07,B005,payroll,34477.13
EXP0000000064,2025-01-07,B005,marketing,4384.49
EXP0000000065,2025-01-08,B001,purchase,2420.05
EXP0000000066,2025-01-08,B001,payroll,31306.83
EXP0000000067,2025-01-08,B002,payroll,48931.10
EXP0000000068,2025-01-08,B002,marketing,3076.98
EXP0000000069,2025-01-08,B003,payroll,43444.46
EXP0000000070,2025-01-08,B003,marketing,5399.51
EXP0000000071,2025-01-08,B004,purchase,1564.77
EXP0000000072,2025-01-08,B004,payroll,36142.71
EXP0000000073,2025-01-08,B004,marketing,3603.51
EXP0000000074,2025-01-08,B005,payroll,34477.13
EXP0000000075,2025-01-09,B001,payroll,31306.83
EXP0000000076,2025-01-09,B001,marketing,4275.02
EXP0000000077,2025-01-09,B002,payroll,48931.10
EXP0000000078,2025-01-09,B002,marketing,2777.65
EXP0000000079,2025-01-09,B003,purchase,1052.50
EXP0000000080,2025-01-09,B003,payroll,43444.46
EXP0000000081,2025-01-09,B004,payroll,36142.71
EXP0000000082,2025-01-09,B004,marketing,3826.01
EXP0000000083,2025-01-09,B005,payroll,34477.13
EXP0000000084,2025-01-09,B005,marketing,4761.13
EXP0000000085,2025-01-10,B001,payroll,31306.83
EXP0000000086,2025-01-10,B002,purchase,6023.30
EXP0000000087,2025-01-10,B002,payroll,48931.10
EXP0000000088,2025-01-10,B002,marketing,2873.90
EXP0000000089,2025-01-10,B003,payroll,43444.46
EXP0000000090,2025-01-10,B003,marketing,5726.54
EXP0000000091,2025-01-10,B004,payroll,36142.71
EXP0000000092,2025-01-10,B005,purchase,541.89
EXP0000000093,2025-01-10,B005,payroll,34477.13
EXP0000000094,2025-01-11,B001,purchase,4188.00
EXP0000000095,2025-01-11,B001,payroll,31306.83
EXP0000000096,2025-01-11,B001,marketing,3051.55
EXP0000000097,2025-01-11,B002,payroll,48931.10
EXP0000000098,2025-01-11,B003,payroll,43444.46
EXP0000000099,2025-01-11,B004,purchase,1493.65
EXP0000000100,2025-01-11,B004,payroll,36142.71
EXP0000000101,2025-01-11,B005,payroll,34477.13
EXP0000000102,2025-01-12,B001,payroll,31306.83
EXP0000000103,2025-01-12,B002,payroll,48931.10
EXP0000000104,2025-01-12,B003,purchase,1102.83
EXP0000000105,2025-01-12,B003,payroll,43444.46
EXP0000000106,2025-01-12,B003,marketing,5440.44
EXP0000000107,2025-01-12,B004,payroll,36142.71
EXP0000000108,2025-01-12,B005,payroll,34477.13
EXP0000000109,2025-01-12,B005,marketing,3778.57
EXP0000000110,2025-01-13,B001,payroll,31306.83
EXP0000000111,2025-01-13,B002,purchase,2636.52
EXP0000000112,2025-01-13,B002,payroll,48931.10
EXP0000000113,2025-01-13,B003,payroll,43444.46
EXP0000000114,2025-01-13,B004,payroll,36142.71
EXP0000000115,2025-01-13,B005,purchase,2010.07
EXP0000000116,2025-01-13,B005,payroll,34477.13
EXP0000000117,2025-01-14,B001,purchase,3934.07
EXP0000000118,2025-01-14,B001,payroll,31306.83
EXP0000000119,2025-01-14,B002,payroll,48931.10
EXP0000000120,2025-01-14,B002,marketing,2722.94
EXP0000000121,2025-01-14,B003,payroll,43444.46
EXP0000000122,2025-01-14,B004,purchase,3390.80
EXP0000000123,2025-01-14,B004,payroll,36142.71
EXP0000000124,2025-01-14,B005,payroll,34477.13
EXP0000000125,2025-01-15,B001,payroll,31306.83
EXP0000000126,2025-01-15,B002,payroll,48931.10
EXP0000000127,2025-01-15,B003,purchase,4324.13
EXP0000000128,2025-01-15,B003,payroll,43444.46
EXP0000000129,2025-01-15,B003,marketing,3789.63
EXP0000000130,2025-01-15,B004,payroll,36142.71
EXP0000000131,2025-01-15,B005,payroll,34477.13
EXP0000000132,2025-01-16,B001,payroll,31306.83
EXP0000000133,2025-01-16,B001,marketing,2896.53
EXP0000000134,2025-01-16,B002,purchase,5117.38
EXP0000000135,2025-01-16,B002,payroll,48931.10
EXP0000000136,2025-01-16,B003,payroll,43444.46
EXP0000000137,2025-01-16,B003,marketing,3668.86
EXP0000000138,2025-01-16,B004,payroll,36142.71
EXP0000000139,2025-01-16,B004,marketing,3413.91
EXP0000000140,2025-01-16,B005,purchase,1366.39
EXP0000000141,2025-01-16,B005,payroll,34477.13
EXP0000000142,2025-01-17,B001,purchase,1170.42
EXP0000000143,2025-01-17,B001,payroll,31306.83
EXP0000000144,2025-01-17,B001,marketing,4147.52
EXP0000000145,2025-01-17,B002,payroll,48931.10
EXP0000000146,2025-01-17,B002,marketing,2222.89
EXP0000000147,2025-01-17,B003,payroll,43444.46
EXP0000000148,2025-01-17,B004,purchase,1324.99
EXP0000000149,2025-01-17,B004,payroll,36142.71
EXP0000000150,2025-01-17,B005,payroll,34477.13
EXP0000000151,2025-01-18,B001,payroll,31306.83
EXP0000000152,2025-01-18,B002,payroll,48931.10
EXP0000000153,2025-01-18,B003,purchase,4165.40
EXP0000000154,2025-01-18,B003,payroll,43444.46
EXP0000000155,2025-01-18,B003,marketing,3703.58
EXP0000000156,2025-01-18,B004,payroll,36142.71
EXP0000000157,2025-01-18,B005,payroll,34477.13
EXP0000000158,2025-01-19,B001,payroll,31306.83
EXP0000000159,2025-01-19,B002,purchase,1108.97
EXP0000000160,2025-01-19,B002,payroll,48931.10
EXP0000000161,2025-01-19,B003,payroll,43444.46
EXP0000000162,2025-01-19,B004,payroll,36142.71
EXP0000000163,2025-01-19,B004,marketing,2709.15
EXP0000000164,2025-01-19,B005,purchase,2033.20
EXP0000000165,2025-01-19,B005,payroll,34477.13
EXP0000000166,2025-01-19,B005,marketing,5576.06
EXP0000000167,2025-01-20,B001,purchase,2878.11
EXP0000000168,2025-01-20,B001,payroll,31306.83
EXP0000000169,2025-01-20,B001,marketing,3891.74
EXP0000000170,2025-01-20,B002,payroll,48931.10
EXP0000000171,2025-01-20,B003,payroll,43444.46
EXP0000000172,2025-01-20,B004,purchase,1406.33
EXP0000000173,2025-01-20,B004,payroll,36142.71
EXP0000000174,2025-01-20,B004,marketing,2853.53
EXP0000000175,2025-01-20,B005,payroll,34477.13
EXP0000000176,2025-01-21,B001,payroll,31306.83
EXP0000000177,2025-01-21,B001,marketing,4147.57
EXP0000000178,2025-01-21,B002,payroll,48931.10
EXP0000000179,2025-01-21,B003,purchase,2681.78
EXP0000000180,2025-01-21,B003,payroll,43444.46
EXP0000000181,2025-01-21,B004,payroll,36142.71
EXP0000000182,2025-01-21,B005,payroll,34477.13
EXP0000000183,2025-01-21,B005,marketing,5510.24
EXP0000000184,2025-01-22,B001,payroll,31306.83
EXP0000000185,2025-01-22,B002,purchase,2034.27
EXP0000000186,2025-01-22,B002,payroll,48931.10
EXP0000000187,2025-01-22,B002,marketing,2293.63
EXP0000000188,2025-01-22,B003,payroll,43444.46
EXP0000000189,2025-01-22,B004,payroll,36142.71
EXP0000000190,2025-01-22,B005,purchase,2336.43
EXP0000000191,2025-01-22,B005,payroll,34477.13
EXP0000000192,2025-01-23,B001,purchase,1662.69
EXP0000000193,2025-01-23,B001,payroll,31306.83
EXP0000000194,2025-01-23,B002,payroll,48931.10
EXP0000000195,2025-01-23,B002,marketing,2296.50
EXP0000000196,2025-01-23,B003,payroll,43444.46
EXP0000000197,2025-01-23,B004,purchase,4745.84
EXP0000000198,2025-01-23,B004,payroll,36142.71
EXP0000000199,2025-01-23,B004,marketing,3291.01
EXP0000000200,2025-01-23,B005,payroll,34477.13
EXP0000000201,2025-01-24,B001,payroll,31306.83
EXP0000000202,2025-01-24,B001,marketing,4364.79
EXP0000000203,2025-01-24,B002,payroll,48931.10
EXP0000000204,2025-01-24,B003,purchase,3306.20
EXP0000000205,2025-01-24,B003,payroll,43444.46
EXP0000000206,2025-01-24,B004,payroll,36142.71
EXP0000000207,2025-01-24,B005,payroll,34477.13
EXP0000000208,2025-01-25,B001,payroll,31306.83
EXP0000000209,2025-01-25,B001,marketing,3462.65
EXP0000000210,2025-01-25,B002,purchase,2852.42
EXP0000000211,2025-01-25,B002,payroll,48931.10
EXP0000000212,2025-01-25,B002,marketing,2833.72
EXP0000000213,2025-01-25,B003,payroll,43444.46
EXP0000000214,2025-01-25,B004,payroll,36142.71
EXP0000000215,2025-01-25,B004,marketing,2761.62
EXP0000000216,2025-01-25,B005,purchase,4315.63
EXP0000000217,2025-01-25,B005,payroll,34477.13
EXP0000000218,2025-01-26,B001,purchase,1502.35
EXP0000000219,2025-01-26,B001,payroll,31306.83
EXP0000000220,2025-01-26,B001,marketing,3179.60
EXP0000000221,2025-01-26,B002,payroll,48931.10
EXP0000000222,2025-01-26,B002,marketing,3005.77
EXP0000000223,2025-01-26,B003,payroll,43444.46
EXP0000000224,2025-01-26,B004,purchase,2439.96
EXP0000000225,2025-01-26,B004,payroll,36142.71
EXP0000000226,2025-01-26,B005,payroll,34477.13
EXP0000000227,2025-01-26,B005,marketing,5604.55
EXP0000000228,2025-01-27,B001,payroll,31306.83
EXP0000000229,2025-01-27,B002,payroll,48931.10
EXP0000000230,2025-01-27,B003,purchase,1423.33
EXP0000000231,2025-01-27,B003,payroll,43444.46
EXP0000000232,2025-01-27,B003,marketing,4920.07
EXP0000000233,2025-01-27,B004,payroll,36142.71
EXP0000000234,2025-01-27,B004,marketing,3595.24
EXP0000000235,2025-01-27,B005,payroll,34477.13
EXP0000000236,2025-01-27,B005,marketing,3918.39
EXP0000000237,2025-01-28,B001,payroll,31306.83
EXP0000000238,2025-01-28,B002,purchase,3231.18
EXP0000000239,2025-01-28,B002,payroll,48931.10
EXP0000000240,2025-01-28,B002,marketing,3004.92
EXP0000000241,2025-01-28,B003,payroll,43444.46
EXP0000000242,2025-01-28,B004,payroll,36142.71
EXP0000000243,2025-01-28,B004,marketing,3497.70
EXP0000000244,2025-01-28,B005,purchase,2789.01
EXP0000000245,2025-01-28,B005,payroll,34477.13
EXP0000000246,2025-01-28,B005,marketing,5497.96
EXP0000000247,2025-01-29,B001,purchase,1840.77
EXP0000000248,2025-01-29,B001,payroll,31306.83
EXP0000000249,2025-01-29,B002,payroll,48931.10
EXP0000000250,2025-01-29,B003,payroll,43444.46
EXP0000000251,2025-01-29,B004,purchase,3212.50
EXP0000000252,2025-01-29,B004,payroll,36142.71
EXP0000000253,2025-01-29,B004,marketing,3726.92
EXP0000000254,2025-01-29,B005,payroll,34477.13
EXP0000000255,2025-01-29,B005,marketing,5522.86
EXP0000000256,2025-01-30,B001,payroll,31306.83
EXP0000000257,2025-01-30,B002,payroll,48931.10
EXP0000000258,2025-01-30,B002,marketing,2999.64
EXP0000000259,2025-01-30,B003,purchase,4949.61
EXP0000000260,2025-01-30,B003,payroll,43444.46
EXP0000000261,2025-01-30,B004,payroll,36142.71
EXP0000000262,2025-01-30,B005,payroll,34477.13
EXP0000000263,2025-01-30,B005,marketing,4279.45
EXP0000000264,2025-01-31,B001,payroll,31306.83
EXP0000000265,2025-01-31,B001,marketing,3287.27
EXP0000000266,2025-01-31,B002,purchase,4892.05
EXP0000000267,2025-01-31,B002,payroll,48931.10
EXP0000000268,2025-01-31,B003,payroll,43444.46
EXP0000000269,2025-01-31,B003,marketing,4534.23
EXP0000000270,2025-01-31,B004,payroll,36142.71
EXP0000000271,2025-01-31,B005,purchase,4739.06
EXP0000000272,2025-01-31,B005,payroll,34477.13
EXP0000000273,2025-01-31,B005,marketing,5543.85
EXP0000000274,2025-02-01,B001,purchase,2833.49
EXP0000000275,2025-02-01,B001,payroll,31236.03
EXP0000000276,2025-02-01,B002,payroll,50089.26
EXP0000000277,2025-02-01,B002,marketing,3221.45
EXP0000000278,2025-02-01,B003,payroll,42853.70
EXP0000000279,2025-02-01,B004,purchase,4518.23
EXP0000000280,2025-02-01,B004,payroll,36630.82
EXP0000000281,2025-02-01,B004,marketing,3657.78
EXP0000000282,2025-02-01,B005,payroll,35318.13
EXP0000000283,2025-02-01,B005,marketing,5653.73
EXP0000000284,2025-02-02,B001,payroll,31236.03
EXP0000000285,2025-02-02,B001,marketing,4266.34
EXP0000000286,2025-02-02,B002,payroll,50089.26
EXP0000000287,2025-02-02,B003,purchase,3917.12
EXP0000000288,2025-02-02,B003,payroll,42853.70
EXP0000000289,2025-02-02,B004,payroll,36630.82
EXP0000000290,2025-02-02,B004,marketing,5340.77
EXP0000000291,2025-02-02,B005,payroll,35318.13
EXP0000000292,2025-02-02,B005,marketing,7131.69
EXP0000000293,2025-02-03,B001,payroll,31236.03
EXP0000000294,2025-02-03,B002,purchase,3705.56
EXP0000000295,2025-02-03,B002,payroll,50089.26
EXP0000000296,2025-02-03,B003,payroll,42853.70
EXP0000000297,2025-02-03,B004,payroll,36630.82
EXP0000000298,2025-02-03,B004,marketing,3853.67
EXP0000000299,2025-02-03,B005,purchase,3570.20
EXP0000000300,2025-02-03,B005,payroll,35318.13
EXP0000000301,2025-02-04,B001,purchase,5396.46
EXP0000000302,2025-02-04,B001,payroll,31236.03
EXP0000000303,2025-02-04,B001,marketing,3787.11
EXP0000000304,2025-02-04,B002,payroll,50089.26
EXP0000000305,2025-02-04,B002,marketing,4021.05
EXP0000000306,2025-02-04,B003,payroll,42853.70
EXP0000000307,2025-02-04,B003,marketing,6446.41
EXP0000000308,2025-02-04,B004,purchase,1155.98
EXP0000000309,2025-02-04,B004,payroll,36630.82
EXP0000000310,2025-02-04,B004,marketing,4438.66
EXP0000000311,2025-02-04,B005,payroll,35318.13
EXP0000000312,2025-02-04,B005,marketing,7362.00
EXP0000000313,2025-02-05,B001,payroll,31236.03
EXP0000000314,2025-02-05,B001,marketing,3839.27
EXP0000000315,2025-02-05,B002,payroll,50089.26
EXP0000000316,2025-02-05,B002,marketing,3654.94
EXP0000000317,2025-02-05,B003,purchase,2177.30
EXP0000000318,2025-02-05,B003,payroll,42853.70
EXP0000000319,2025-02-05,B004,payroll,36630.82
EXP0000000320,2025-02-05,B005,payroll,35318.13
EXP0000000321,2025-02-06,B001,payroll,31236.03
EXP0000000322,2025-02-06,B002,purchase,1710.54
EXP0000000323,2025-02-06,B002,payroll,50089.26
EXP0000000324,2025-02-06,B002,marketing,2901.13
EXP0000000325,2025-02-06,B003,payroll,42853.70
EXP0000000326,2025-02-06,B004,payroll,36630.82
EXP0000000327,2025-02-06,B004,marketing,4111.94
EXP0000000328,2025-02-06,B005,purchase,1189.38
EXP0000000329,2025-02-06,B005,payroll,35318.13
EXP0000000330,2025-02-06,B005,marketing,7425.83
EXP0000000331,2025-02-07,B001,purchase,4715.95
EXP0000000332,2025-02-07,B001,payroll,31236.03
EXP0000000333,2025-02-07,B001,marketing,5198.86
EXP0000000334,2025-02-07,B002,payroll,50089.26
EXP0000000335,2025-02-07,B002,marketing,3303.49
EXP0000000336,2025-02-07,B003,payroll,42853.70
EXP0000000337,2025-02-07,B003,marketing,5144.74
EXP0000000338,2025-02-07,B004,purchase,2986.49
EXP0000000339,2025-02-07,B004,payroll,36630.82
EXP0000000340,2025-02-07,B005,payroll,35318.13
EXP0000000341,2025-02-08,B001,payroll,31236.03
EXP0000000342,2025-02-08,B001,marketing,5663.05
EXP0000000343,2025-02-08,B002,payroll,50089.26
EXP0000000344,2025-02-08,B002,marketing,4118.85
EXP0000000345,2025-02-08,B003,purchase,2801.95
EXP0000000346,2025-02-08,B003,payroll,42853.70
EXP0000000347,2025-02-08,B003,marketing,7900.36
EXP0000000348,2025-02-08,B004,payroll,36630.82
EXP0000000349,2025-02-08,B005,payroll,35318.13
EXP0000000350,2025-02-09,B001,payroll,31236.03
EXP0000000351,2025-02-09,B001,marketing,3751.17
EXP0000000352,2025-02-09,B002,purchase,2577.33
EXP0000000353,2025-02-09,B002,payroll,50089.26
EXP0000000354,2025-02-09,B002,marketing,4143.23
EXP0000000355,2025-02-09,B003,payroll,42853.70
EXP0000000356,2025-02-09,B004,payroll,36630.82
EXP0000000357,2025-02-09,B004,marketing,3605.41
EXP0000000358,2025-02-09,B005,purchase,792.35
EXP0000000359,2025-02-09,B005,payroll,35318.13
EXP0000000360,2025-02-09,B005,marketing,5339.97
EXP0000000361,2025-02-10,B001,purchase,920.97
EXP0000000362,2025-02-10,B001,payroll,31236.03
EXP0000000363,2025-02-10,B001,marketing,5006.40
EXP0000000364,2025-02-10,B002,payroll,50089.26
EXP0000000365,2025-02-10,B003,payroll,42853.70
EXP0000000366,2025-02-10,B003,marketing,6601.28
EXP0000000367,2025-02-10,B004,purchase,5704.11
EXP0000000368,2025-02-10,B004,payroll,36630.82
EXP0000000369,2025-02-10,B005,payroll,35318.13
EXP0000000370,2025-02-10,B005,marketing,6532.70
EXP0000000371,2025-02-11,B001,payroll,31236.03
EXP0000000372,2025-02-11,B002,payroll,50089.26
EXP0000000373,2025-02-11,B002,marketing,3765.18
EXP0000000374,2025-02-11,B003,purchase,5614.62
EXP0000000375,2025-02-11,B003,payroll,42853.70
EXP0000000376,2025-02-11,B004,payroll,36630.82
EXP0000000377,2025-02-11,B004,marketing,5357.11
EXP0000000378,2025-02-11,B005,payroll,35318.13
EXP0000000379,2025-02-11,B005,marketing,5704.38
EXP0000000380,2025-02-12,B001,payroll,31236.03
EXP0000000381,2025-02-12,B002,purchase,4265.59
EXP0000000382,2025-02-12,B002,payroll,50089.26
EXP0000000383,2025-02-12,B003,payroll,42853.70
EXP0000000384,2025-02-12,B003,marketing,7258.74
EXP0000000385,2025-02-12,B004,payroll,36630.82
EXP0000000386,2025-02-12,B004,marketing,4541.14
EXP0000000387,2025-02-12,B005,purchase,1993.07
EXP0000000388,2025-02-12,B005,payroll,35318.13
EXP0000000389,2025-02-13,B001,purchase,3562.53
EXP0000000390,2025-02-13,B001,payroll,31236.03
EXP0000000391,2025-02-13,B001,marketing,4476.40
EXP0000000392,2025-02-13,B002,payroll,50089.26
EXP0000000393,2025-02-13,B003,payroll,42853.70
EXP0000000394,2025-02-13,B003,marketing,7064.37
EXP0000000395,2025-02-13,B004,purchase,2807.32
EXP0000000396,2025-02-13,B004,payroll,36630.82
EXP0000000397,2025-02-13,B004,marketing,5406.48
EXP0000000398,2025-02-13,B005,payroll,35318.13
EXP0000000399,2025-02-14,B001,payroll,31236.03
EXP0000000400,2025-02-14,B001,marketing,4454.42
EXP0000000401,2025-02-14,B002,payroll,50089.26
EXP0000000402,2025-02-14,B002,marketing,3084.68
EXP0000000403,2025-02-14,B003,purchase,1379.47
EXP0000000404,2025-02-14,B003,payroll,42853.70
EXP0000000405,2025-02-14,B003,marketing,6195.34
EXP0000000406,2025-02-14,B004,payroll,36630.82
EXP0000000407,2025-02-14,B004,marketing,3959.44
EXP0000000408,2025-02-14,B005,payroll,35318.13
EXP0000000409,2025-02-15,B001,payroll,31236.03
EXP0000000410,2025-02-15,B001,marketing,5378.25
EXP0000000411,2025-02-15,B002,purchase,4583.31
EXP0000000412,2025-02-15,B002,payroll,50089.26
EXP0000000413,2025-02-15,B002,marketing,2864.53
EXP0000000414,2025-02-15,B003,payroll,42853.70
EXP0000000415,2025-02-15,B004,payroll,36630.82
EXP0000000416,2025-02-15,B004,marketing,4454.32
EXP0000000417,2025-02-15,B005,purchase,5173.68
EXP0000000418,2025-02-15,B005,payroll,35318.13
EXP0000000419,2025-02-16,B001,purchase,1577.64
EXP0000000420,2025-02-16,B001,payroll,31236.03
EXP0000000421,2025-02-16,B002,payroll,50089.26
EXP0000000422,2025-02-16,B002,marketing,2788.60
EXP0000000423,2025-02-16,B003,payroll,42853.70
EXP0000000424,2025-02-16,B004,purchase,6627.81
EXP0000000425,2025-02-16,B004,payroll,36630.82
EXP0000000426,2025-02-16,B004,marketing,4588.96
EXP0000000427,2025-02-16,B005,payroll,35318.13
EXP0000000428,2025-02-17,B001,payroll,31236.03
EXP0000000429,2025-02-17,B001,marketing,5092.09
EXP0000000430,2025-02-17,B002,payroll,50089.26
EXP0000000431,2025-02-17,B002,marketing,3300.17
EXP0000000432,2025-02-17,B003,purchase,1708.70
EXP0000000433,2025-02-17,B003,payroll,42853.70
EXP0000000434,2025-02-17,B003,marketing,5284.61
EXP0000000435,2025-02-17,B004,payroll,36630.82
EXP0000000436,2025-02-17,B005,payroll,35318.13
EXP0000000437,2025-02-18,B001,payroll,31236.03
EXP0000000438,2025-02-18,B002,purchase,2174.61
EXP0000000439,2025-02-18,B002,payroll,50089.26
EXP0000000440,2025-02-18,B002,marketing,3079.59
EXP0000000441,2025-02-18,B003,payroll,42853.70
EXP0000000442,2025-02-18,B003,marketing,6424.81
EXP0000000443,2025-02-18,B004,payroll,36630.82
EXP0000000444,2025-02-18,B004,marketing,4730.96
EXP0000000445,2025-02-18,B005,purchase,3014.11
EXP0000000446,2025-02-18,B005,payroll,35318.13
EXP0000000447,2025-02-19,B001,purchase,2549.30
EXP0000000448,2025-02-19,B001,payroll,31236.03
EXP0000000449,2025-02-19,B001,marketing,4213.63
EXP0000000450,2025-02-19,B002,payroll,50089.26
EXP0000000451,2025-02-19,B003,payroll,42853.70
EXP0000000452,2025-02-19,B003,marketing,6226.03
EXP0000000453,2025-02-19,B004,purchase,1564.16
EXP0000000454,2025-02-19,B004,payroll,36630.82
EXP0000000455,2025-02-19,B004,marketing,4041.54
EXP0000000456,2025-02-19,B005,payroll,35318.13
EXP0000000457,2025-02-19,B005,marketing,5988.59
EXP0000000458,2025-02-20,B001,payroll,31236.03
EXP0000000459,2025-02-20,B002,payroll,50089.26
EXP0000000460,2025-02-20,B002,marketing,3905.25
EXP0000000461,2025-02-20,B003,purchase,2367.62
EXP0000000462,2025-02-20,B003,payroll,42853.70
EXP0000000463,2025-02-20,B003,marketing,5455.57
EXP0000000464,2025-02-20,B004,payroll,36630.82
EXP0000000465,2025-02-20,B005,payroll,35318.13
EXP0000000466,2025-02-21,B001,payroll,31236.03
EXP0000000467,2025-02-21,B001,marketing,5896.14
EXP0000000468,2025-02-21,B002,purchase,5701.40
EXP0000000469,2025-02-21,B002,payroll,50089.26
EXP0000000470,2025-02-21,B002,marketing,3955.78
EXP0000000471,2025-02-21,B003,payroll,42853.70
EXP0000000472,2025-02-21,B004,payroll,36630.82
EXP0000000473,2025-02-21,B005,purchase,3869.14
EXP0000000474,2025-02-21,B005,payroll,35318.13
EXP0000000475,2025-02-21,B005,marketing,6869.78
EXP0000000476,2025-02-22,B001,purchase,3284.04
EXP0000000477,2025-02-22,B001,payroll,31236.03
EXP0000000478,2025-02-22,B002,payroll,50089.26
EXP0000000479,2025-02-22,B002,marketing,3497.79
EXP0000000480,2025-02-22,B003,payroll,42853.70
EXP0000000481,2025-02-22,B004,purchase,4079.73
EXP0000000482,2025-02-22,B004,payroll,36630.82
EXP0000000483,2025-02-22,B004,marketing,5031.04
EXP0000000484,2025-02-22,B005,payroll,35318.13
EXP0000000485,2025-02-22,B005,marketing,6064.93
EXP0000000486,2025-02-23,B001,payroll,31236.03
EXP0000000487,2025-02-23,B002,payroll,50089.26
EXP0000000488,2025-02-23,B003,purchase,2818.46
EXP0000000489,2025-02-23,B003,payroll,42853.70
EXP0000000490,2025-02-23,B004,payroll,36630.82
EXP0000000491,2025-02-23,B004,marketing,5523.06
EXP0000000492,2025-02-23,B005,payroll,35318.13
EXP0000000493,2025-02-24,B001,payroll,31236.03
EXP0000000494,2025-02-24,B001,marketing,4837.89
EXP0000000495,2025-02-24,B002,purchase,957.08
EXP0000000496,2025-02-24,B002,payroll,50089.26
EXP0000000497,2025-02-24,B003,payroll,42853.70
EXP0000000498,2025-02-24,B003,marketing,5353.75
EXP0000000499,2025-02-24,B004,payroll,36630.82
EXP0000000500,2025-02-24,B005,purchase,1885.27
EXP0000000501,2025-02-24,B005,payroll,35318.13
EXP0000000502,2025-02-25,B001,purchase,2770.14
EXP0000000503,2025-02-25,B001,payroll,31236.03
EXP0000000504,2025-02-25,B001,marketing,3822.82
EXP0000000505,2025-02-25,B002,payroll,50089.26
EXP0000000506,2025-02-25,B002,marketing,2878.56
EXP0000000507,2025-02-25,B003,payroll,42853.70
EXP0000000508,2025-02-25,B004,purchase,2246.18
EXP0000000509,2025-02-25,B004,payroll,36630.82
EXP0000000510,2025-02-25,B004,marketing,4053.77
EXP0000000511,2025-02-25,B005,payroll,35318.13
EXP0000000512,2025-02-25,B005,marketing,5140.00
EXP0000000513,2025-02-26,B001,payroll,31236.03
EXP0000000514,2025-02-26,B002,payroll,50089.26
EXP0000000515,2025-02-26,B003,purchase,5461.98
EXP0000000516,2025-02-26,B003,payroll,42853.70
EXP0000000517,2025-02-26,B003,marketing,7702.32
