date,branch_id,cash_in,cash_out,net_cash_flow,cumulative_cash
2025-01-19,B002,145326.07,50040.07,95286.00,1843070.19
2025-01-19,B003,107800.00,43444.46,64355.54,1290897.55
2025-01-19,B004,107800.00,38851.85,68948.15,1427736.88
2025-01-19,B005,115812.81,42086.40,73726.41,1508142.10
2025-01-20,B001,137772.11,38076.68,99695.44,2234268.70
2025-01-20,B002,128000.00,48931.10,79068.90,1922139.08
2025-01-20,B003,98000.00,43444.46,54555.54,1345453.09
2025-01-20,B004,103708.14,40402.56,63305.58,1491042.46
2025-01-20,B005,98000.00,34477.13,63522.87,1571664.97
2025-01-21,B001,128000.00,35454.40,92545.60,2326814.30
2025-01-21,B002,128000.00,48931.10,79068.90,2001207.98
2025-01-21,B003,109236.46,46126.24,63110.23,1408563.32
2025-01-21,B004,98000.00,36142.71,61857.29,1552899.76
2025-01-21,B005,98000.00,39987.38,58012.62,1629677.59
2025-01-22,B001,128000.00,31306.83,96693.17,2423507.47
2025-01-22,B002,136173.64,53259.01,82914.64,2084122.62
2025-01-22,B003,98000.00,43444.46,54555.54,1463118.86
2025-01-22,B004,98000.00,36142.71,61857.29,1614757.05
2025-01-22,B005,106216.09,36813.56,69402.53,1699080.11
2025-01-23,B001,134819.73,32969.52,101850.21,2525357.69
2025-01-23,B002,128000.00,51227.61,76772.39,2160895.01
2025-01-23,B003,98000.00,43444.46,54555.54,1517674.41
2025-01-23,B004,116193.19,44179.56,72013.64,1686770.69
2025-01-23,B005,98000.00,34477.13,63522.87,1762602.98
2025-01-24,B001,128000.00,35671.62,92328.38,2617686.07
2025-01-24,B002,128000.00,48931.10,79068.90,2239963.91
2025-01-24,B003,109710.96,46750.66,62960.31,1580634.71
2025-01-24,B004,98000.00,36142.71,61857.29,1748627.98
2025-01-24,B005,98000.00,34477.13,63522.87,1826125.85
2025-01-25,B001,140800.00,34769.48,106030.52,2723716.59
2025-01-25,B002,151967.17,54617.25,97349.92,2337313.83
2025-01-25,B003,107800.00,43444.46,64355.54,1644990.26
2025-01-25,B004,107800.00,38904.33,68895.67,1817523.65
2025-01-25,B005,123498.94,38792.76,84706.18,1910832.02
2025-01-26,B001,147218.72,35988.78,111229.94,2834946.53
2025-01-26,B002,140800.00,51936.87,88863.13,2426176.96
2025-01-26,B003,107800.00,43444.46,64355.54,1709345.80
2025-01-26,B004,118448.74,38582.67,79866.07,1897389.73
2025-01-26,B005,107800.00,40081.68,67718.32,1978550.34
2025-01-27,B001,128000.00,31306.83,96693.17,2931639.70
2025-01-27,B002,128000.00,48931.10,79068.90,2505245.86
2025-01-27,B003,102985.49,49787.86,53197.63,1762543.43
2025-01-27,B004,98000.00,39737.95,58262.05,1955651.78
2025-01-27,B005,98000.00,38395.52,59604.48,2038154.82
2025-01-28,B001,128000.00,31306.83,96693.17,3028332.87
2025-01-28,B002,139335.25,55167.21,84168.04,2589413.90
2025-01-28,B003,98000.00,43444.46,54555.54,1817098.97
2025-01-28,B004,98000.00,39640.41,58359.59,2014011.37
2025-01-28,B005,106989.90,42764.10,64225.80,2102380.61
2025-01-29,B001,133907.38,33147.60,100759.79,3129092.66
2025-01-29,B002,128000.00,48931.10,79068.90,2668482.79
2025-01-29,B003,98000.00,43444.46,54555.54,1871654.52
2025-01-29,B004,111112.24,43082.12,68030.12,2082041.49
2025-01-29,B005,98000.00,40000.00,58000.00,2160380.62
2025-01-30,B001,128000.00,31306.83,96693.17,3225785.83
2025-01-30,B002,128000.00,51930.74,76069.26,2744552.05
2025-01-30,B003,117269.45,48394.07,68875.38,1940529.90
2025-01-30,B004,98000.00,36142.71,61857.29,2143898.78
2025-01-30,B005,98000.00,38756.59,59243.41,2219624.03
2025-01-31,B001,128000.00,34594.09,93405.91,3319191.73
2025-01-31,B002,145039.26,53823.15,91216.11,2835768.15
2025-01-31,B003,98000.00,47978.69,50021.31,1990551.21
2025-01-31,B004,98000.00,36142.71,61857.29,2205756.08
2025-01-31,B005,116259.38,44760.04,71499.34,2291123.37
2025-02-01,B001,152161.80,34069.52,118092.28,3437284.02
2025-02-01,B002,140800.00,53310.71,87489.29,2923257.44
2025-02-01,B003,107800.00,42853.70,64946.30,2055497.51
2025-02-01,B004,127237.78,44806.83,82430.95,2288187.03
2025-02-01,B005,107800.00,40971.86,66828.14,2357951.51
2025-02-02,B001,140800.00,35502.37,105297.63,3542581.65
2025-02-02,B002,140800.00,50089.26,90710.74,3013968.18
2025-02-02,B003,122816.76,46770.82,76045.94,2131543.45
2025-02-02,B004,107800.00,41971.59,65828.41,2354015.44
2025-02-02,B005,107800.00,42449.83,65350.17,2423301.68
2025-02-03,B001,128000.00,31236.03,96763.97,3639345.62
2025-02-03,B002,143164.48,53794.82,89369.66,3103337.84
2025-02-03,B003,98000.00,42853.70,55146.30,2186689.75
2025-02-03,B004,98000.00,40484.49,57515.51,2411530.95
2025-02-03,B005,112152.58,38888.33,73264.25,2496565.93
2025-02-04,B001,150204.67,40419.60,109785.06,3749130.68
2025-02-04,B002,128000.00,54110.31,73889.69,3177227.53
2025-02-04,B003,98000.00,49300.12,48699.88,2235389.63
2025-02-04,B004,102699.82,42225.47,60474.35,2472005.30
2025-02-04,B005,98000.00,42680.13,55319.87,2551885.80
2025-02-05,B001,128000.00,35075.30,92924.70,3842055.38
2025-02-05,B002,128000.00,53744.20,74255.80,3251483.33
2025-02-05,B003,106086.09,45031.00,61055.09,2296444.72
2025-02-05,B004,98000.00,36630.82,61369.18,2533374.48
2025-02-05,B005,98000.00,35318.13,62681.87,2614567.67
2025-02-06,B001,128000.00,31236.03,96763.97,3938819.35
2025-02-06,B002,133584.34,54700.93,78883.41,3330366.74
2025-02-06,B003,98000.00,42853.70,55146.30,2351591.02
2025-02-06,B004,98000.00,40742.77,57257.23,2590631.71
2025-02-06,B005,102702.35,43933.35,58769.01,2673336.67
2025-02-07,B001,146974.07,41150.84,105823.23,4044642.58
2025-02-07,B002,128000.00,53392.75,74607.25,3404973.99
2025-02-07,B003,98000.00,47998.44,50001.56,2401592.58
2025-02-07,B004,108005.60,39617.31,68388.28,2659019.99
2025-02-07,B005,98000.00,35318.13,62681.87,2736018.54
2025-02-08,B001,140800.00,36899.08,103900.92,4148543.50
2025-02-08,B002,140800.00,54208.11,86591.89,3491565.88
2025-02-08,B003,120119.89,53556.02,66563.88,2468156.46
2025-02-08,B004,107800.00,36630.82,71169.18,2730189.17
2025-02-08,B005,107800.00,35318.13,72481.87,2808500.41
2025-02-09,B001,140800.00,34987.20,105812.80,4254356.30
2025-02-09,B002,152057.72,56809.82,95247.90,3586813.78
2025-02-09,B003,107800.00,42853.70,64946.30,2533102.76
2025-02-09,B004,107800.00,40236.23,67563.77,2797752.94
2025-02-09,B005,111323.33,41450.45,69872.88,2878373.29
2025-02-10,B001,131241.88,37163.40,94078.48,4348434.78
2025-02-10,B002,128000.00,50089.26,77910.74,3664724.51
2025-02-10,B003,98000.00,49454.98,48545.02,2581647.77
2025-02-10,B004,119234.08,42334.93,76899.15,2874652.09
2025-02-10,B005,98000.00,41850.84,56149.16,2934522.45
2025-02-11,B001,128000.00,31236.03,96763.97,4445198.75
2025-02-11,B002,128000.00,53854.44,74145.56,3738870.07
2025-02-11,B003,118233.20,48468.32,69764.88,2651412.65
2025-02-11,B004,98000.00,41987.94,56012.06,2930664.16
2025-02-11,B005,98000.00,41022.51,56977.49,2991499.94
2025-02-12,B001,128000.00,31236.03,96763.97,4541962.72
2025-02-12,B002,144289.05,54354.85,89934.20,3828804.27
2025-02-12,B003,98000.00,50112.44,47887.56,2699300.21
2025-02-12,B004,98000.00,41171.96,56828.04,2987492.19
2025-02-12,B005,106057.62,37311.20,68746.42,3060246.36
2025-02-13,B001,139564.96,39274.96,100290.01,4642252.73
2025-02-13,B002,128000.00,50089.26,77910.74,3906715.01
2025-02-13,B003,98000.00,49918.07,48081.93,2747382.14
2025-02-13,B004,108040.93,44844.62,63196.31,3050688.51
2025-02-13,B005,98000.00,35318.13,62681.87,3122928.23
2025-02-14,B001,128000.00,35690.45,92309.55,4734562.28
2025-02-14,B002,128000.00,53173.94,74826.06,3981541.07
2025-02-14,B003,103414.22,50428.51,52985.71,2800367.84
2025-02-14,B004,98000.00,40590.26,57409.74,3108098.25
2025-02-14,B005,98000.00,35318.13,62681.87,3185610.09
2025-02-15,B001,140800.00,36614.28,104185.72,4838747.99
2025-02-15,B002,161709.82,57537.10,104172.72,4085713.78
2025-02-15,B003,107800.00,42853.70,64946.30,2865314.14
2025-02-15,B004,107800.00,41085.14,66714.86,3174813.11
2025-02-15,B005,127254.11,40491.81,86762.30,3272372.40
2025-02-16,B001,147939.81,32813.67,115126.14,4953874.14
2025-02-16,B002,140800.00,52877.87,87922.13,4173635.92
2025-02-16,B003,107800.00,42853.70,64946.30,2930260.44
2025-02-16,B004,137334.88,47847.59,89487.29,3264300.40
2025-02-16,B005,107800.00,35318.13,72481.87,3344854.27
2025-02-17,B001,128000.00,36328.12,91671.88,5045546.01
2025-02-17,B002,128000.00,53389.43,74610.57,4248246.49
2025-02-17,B003,104668.24,49847.01,54821.23,2985081.67
2025-02-17,B004,98000.00,36630.82,61369.18,3325669.57
2025-02-17,B005,98000.00,35318.13,62681.87,3407536.13
2025-02-18,B001,128000.00,31236.03,96763.97,5142309.98
2025-02-18,B002,135052.36,55343.46,79708.90,4327955.39
2025-02-18,B003,98000.00,49278.51,48721.49,3033803.16
2025-02-18,B004,98000.00,41361.78,56638.22,3382307.79
2025-02-18,B005,108673.20,38332.24,70340.96,3477877.09
2025-02-19,B001,136472.73,37998.96,98473.77,5240783.75
2025-02-19,B002,128000.00,50089.26,77910.74,4405866.13
2025-02-19,B003,98000.00,49079.73,48920.27,3082723.43
2025-02-19,B004,104280.95,42236.52,62044.43,3444352.22
2025-02-19,B005,98000.00,41306.72,56693.28,3534570.37
2025-02-20,B001,128000.00,31236.03,96763.97,5337547.73
2025-02-20,B002,128000.00,53994.51,74005.49,4479871.62
2025-02-20,B003,106298.11,50676.89,55621.22,3138344.65
2025-02-20,B004,98000.00,36630.82,61369.18,3505721.40
2025-02-20,B005,98000.00,35318.13,62681.87,3597252.24
2025-02-21,B001,128000.00,37132.17,90867.83,5428415.55
2025-02-21,B002,148841.88,59746.44,89095.44,4568967.06
2025-02-21,B003,98000.00,42853.70,55146.30,3193490.95
2025-02-21,B004,98000.00,36630.82,61369.18,3567090.58
2025-02-21,B005,110735.43,46057.05,64678.38,3661930.62
2025-02-22,B001,155529.14,34520.07,121009.07,5549424.62
2025-02-22,B002,140800.00,53587.05,87212.95,4656180.01
2025-02-22,B003,107800.00,42853.70,64946.30,3258437.25
2025-02-22,B004,125351.79,45741.59,79610.20,3646700.77
2025-02-22,B005,107800.00,41383.07,66416.93,3728347.55
2025-02-23,B001,140800.00,31236.03,109563.97,5658988.59
2025-02-23,B002,140800.00,50089.26,90710.74,4746890.75
2025-02-23,B003,119844.37,45672.16,74172.21,3332609.45
2025-02-23,B004,107800.00,42153.88,65646.12,3712346.89
2025-02-23,B005,107800.00,35318.13,72481.87,3800829.42
2025-02-24,B001,128000.00,36073.92,91926.08,5750914.67
2025-02-24,B002,131732.64,51046.34,80686.30,4827577.05
2025-02-24,B003,98000.00,48207.46,49792.54,3382402.00
2025-02-24,B004,98000.00,36630.82,61369.18,3773716.07
2025-02-24,B005,104571.91,37203.40,67368.51,3868197.92
2025-02-25,B001,138623.47,37828.99,100794.48,5851709.16
2025-02-25,B002,128000.00,52967.82,75032.18,4902609.22
2025-02-25,B003,98000.00,42853.70,55146.30,3437548.30
2025-02-25,B004,105889.29,42930.78,62958.51,3836674.58
2025-02-25,B005,98000.00,40458.13,57541.87,3925739.79
2025-02-26,B001,128000.00,31236.03,96763.97,5948473.13
2025-02-26,B002,128000.00,50089.26,77910.74,4980519.96
2025-02-26,B003,119534.91,56018.00,63516.91,3501065.21
2025-02-26,B004,98000.00,36630.82,61369.18,3898043.76
2025-02-26,B005,98000.00,35318.13,62681.87,3988421.66
2025-02-27,B001,128000.00,36559.80,91440.20,6039913.32
2025-02-27,B002,133800.18,51725.82,82074.36,5062594.32
2025-02-27,B003,98000.00,50408.36,47591.64,3548656.85
2025-02-27,B004,98000.00,36630.82,61369.18,3959412.94
2025-02-27,B005,103488.50,36983.53,66504.96,4054926.62
2025-02-28,B001,144600.05,35702.26,108897.79,6148811.11
2025-02-28,B002,128000.00,50089.26,77910.74,5140505.05
2025-02-28,B003,98000.00,42853.70,55146.30,3603803.15
2025-02-28,B004,121953.99,47733.89,74220.10,4033633.04
2025-02-28,B005,98000.00,43216.02,54783.98,4109710.60
2025-03-01,B001,149248.00,31053.13,118194.87,6267005.98
2025-03-01,B002,149248.00,52850.05,96397.95,5236903.00
2025-03-01,B003,137857.17,54142.59,83714.58,3687517.73
2025-03-01,B004,114268.00,35751.54,78516.46,4112149.51
2025-03-01,B005,114268.00,35281.96,78986.04,4188696.63
2025-03-02,B001,149248.00,31053.13,118194.87,6385200.85
2025-03-02,B002,157306.05,53872.06,103433.98,5340336.99
2025-03-02,B003,114268.00,47760.25,66507.75,3754025.47
2025-03-02,B004,114268.00,35751.54,78516.46,4190665.97
2025-03-02,B005,117573.67,39963.91,77609.77,4266306.40
2025-03-03,B001,149261.29,38210.94,111050.35,6496251.20
2025-03-03,B002,135680.00,49956.57,85723.43,5426060.42
2025-03-03,B003,103880.00,43943.04,59936.96,3813962.44
2025-03-03,B004,112766.12,40629.17,72136.95,4262802.93
2025-03-03,B005,103880.00,40334.34,63545.66,4329852.06
2025-03-04,B001,135680.00,31053.13,104626.87,6600878.07
2025-03-04,B002,135680.00,49956.57,85723.43,5511783.85
2025-03-04,B003,112705.25,50852.76,61852.49,3875814.93
2025-03-04,B004,103880.00,38969.61,64910.39,4327713.31
2025-03-04,B005,103880.00,35281.96,68598.04,4398450.10
2025-03-05,B001,135680.00,31053.13,104626.87,6705504.94
2025-03-05,B002,142315.19,51534.87,90780.32,5602564.16
2025-03-05,B003,103880.00,43943.04,59936.96,3935751.89
2025-03-05,B004,103880.00,35751.54,68128.46,4395841.78
2025-03-05,B005,108579.84,36365.78,72214.06,4470664.16
2025-03-06,B001,141745.82,32833.29,108912.53,6814417.47
2025-03-06,B002,135680.00,49956.57,85723.43,5688287.59
2025-03-06,B003,103880.00,48030.09,55849.91,3991601.80
2025-03-06,B004,114538.50,38385.27,76153.23,4471995.01
2025-03-06,B005,103880.00,39688.50,64191.50,4534855.65
2025-03-07,B001,135680.00,34447.07,101232.93,6915650.40
2025-03-07,B002,135680.00,52585.42,83094.58,5771382.17
2025-03-07,B003,124364.82,48670.56,75694.26,4067296.06
2025-03-07,B004,103880.00,39248.27,64631.73,4536626.74
2025-03-07,B005,103880.00,40699.15,63180.85,4598036.50
2025-03-08,B001,149248.00,33793.01,115454.99,7031105.38
2025-03-08,B002,152022.42,50698.16,101324.26,5872706.43
2025-03-08,B003,114268.00,43943.04,70324.96,4137621.03
2025-03-08,B004,114268.00,39073.44,75194.56,4611821.30
2025-03-08,B005,123283.49,37321.11,85962.37,4683998.87
2025-03-09,B001,159219.49,36380.19,122839.30,7153944.68
2025-03-09,B002,149248.00,49956.57,99291.43,5971997.86
2025-03-09,B003,114268.00,49776.60,64491.40,4202112.43
2025-03-09,B004,119132.96,40729.67,78403.29,4690224.59
2025-03-09,B005,114268.00,35281.96,78986.04,4762984.91
2025-03-10,B001,135680.00,31053.13,104626.87,7258571.55
2025-03-10,B002,135680.00,49956.57,85723.43,6057721.29
2025-03-10,B003,118004.77,47202.14,70802.63,4272915.06
2025-03-10,B004,103880.00,35751.54,68128.46,4758353.05
2025-03-10,B005,103880.00,35281.96,68598.04,4831582.95
2025-03-11,B001,135680.00,31053.13,104626.87,7363198.42
2025-03-11,B002,156115.88,54682.21,101433.67,6159154.95
2025-03-11,B003,103880.00,43943.04,59936.96,4332852.03
2025-03-11,B004,103880.00,35751.54,68128.46,4826481.52
2025-03-11,B005,114839.34,38299.16,76540.18,4908123.13
2025-03-12,B001,151636.93,35006.68,116630.24,7479828.66
2025-03-12,B002,135680.00,49956.57,85723.43,6244878.38
2025-03-12,B003,103880.00,43943.04,59936.96,4392788.99
2025-03-12,B004,111977.59,37900.89,74076.70,4900558.22
2025-03-12,B005,103880.00,35281.96,68598.04,4976721.16
2025-03-13,B001,135680.00,35049.72,100630.28,7580458.94
2025-03-13,B002,135680.00,49956.57,85723.43,6330601.81
2025-03-13,B003,115314.15,51787.34,63526.80,4456315.79
2025-03-13,B004,103880.00,39138.98,64741.02,4965299.24
2025-03-13,B005,103880.00,40650.68,63229.32,5039950.48
2025-03-14,B001,135680.00,31053.13,104626.87,7685085.81
2025-03-14,B002,140546.66,51383.63,89163.03,6419764.84
2025-03-14,B003,103880.00,48432.78,55447.22,4511763.02
2025-03-14,B004,103880.00,35751.54,68128.46,5033427.70
2025-03-14,B005,115399.22,37899.35,77499.86,5117450.35
2025-03-15,B001,157807.48,32942.24,124865.24,7809951.05
2025-03-15,B002,149248.00,49956.57,99291.43,6519056.27
2025-03-15,B003,114268.00,43943.04,70324.96,4582087.98
2025-03-15,B004,132961.69,40032.60,92929.09,5126356.79
2025-03-15,B005,114268.00,35281.96,78986.04,5196436.38
2025-03-16,B001,149248.00,31053.13,118194.87,7928145.92
2025-03-16,B002,149248.00,49956.57,99291.43,6618347.70
2025-03-16,B003,126400.20,46423.58,79976.62,4662064.60
2025-03-16,B004,114268.00,39656.45,74611.55,5200968.34
2025-03-16,B005,114268.00,35281.96,78986.04,5275422.42
2025-03-17,B001,135680.00,34172.82,101507.18,8029653.10
2025-03-17,B002,154892.66,54913.08,99979.58,6718327.27
2025-03-17,B003,103880.00,43943.04,59936.96,4722001.57
2025-03-17,B004,103880.00,39117.75,64762.25,5265730.60
2025-03-17,B005,120570.60,39358.35,81212.25,5356634.67
2025-03-18,B001,145592.83,33671.52,111921.31,8141574.41
2025-03-18,B002,135680.00,49956.57,85723.43,6804050.70
2025-03-18,B003,103880.00,43943.04,59936.96,4781938.53
2025-03-18,B004,114613.98,42271.54,72342.44,5338073.04
2025-03-18,B005,103880.00,35281.96,68598.04,5425232.71
2025-03-19,B001,135680.00,34120.44,101559.56,8243133.97
2025-03-19,B002,135680.00,52953.58,82726.42,6886777.13
2025-03-19,B003,114659.69,46641.09,68018.61,4849957.14
2025-03-19,B004,103880.00,39311.30,64568.70,5402641.74
2025-03-19,B005,103880.00,35281.96,68598.04,5493830.74
2025-03-20,B001,135680.00,31053.13,104626.87,8347760.84
2025-03-20,B002,144700.13,54261.24,90438.89,6977216.02
2025-03-20,B003,103880.00,49232.78,54647.22,4904604.36
2025-03-20,B004,103880.00,39222.80,64657.20,5467298.94
2025-03-20,B005,125116.90,45272.35,79844.55,5573675.29
2025-03-21,B001,152224.95,38880.47,113344.49,8461105.32
2025-03-21,B002,135680.00,52611.11,83068.89,7060284.90
2025-03-21,B003,103880.00,43943.04,59936.96,4964541.33
2025-03-21,B004,111110.82,37749.39,73361.43,5540660.37
2025-03-21,B005,103880.00,40276.48,63603.52,5637278.82
2025-03-22,B001,149248.00,31053.13,118194.87,8579300.19
2025-03-22,B002,149248.00,52127.10,97120.90,7157405.81
2025-03-22,B003,131396.52,47507.70,83888.82,5048430.15
2025-03-22,B004,114268.00,39566.53,74701.47,5615361.84
2025-03-22,B005,114268.00,35281.96,78986.04,5716264.85
2025-03-23,B001,149248.00,31053.13,118194.87,8697495.06
2025-03-23,B002,159814.18,52145.80,107668.38,7265074.18
2025-03-23,B003,114268.00,43943.04,70324.96,5118755.11
2025-03-23,B004,114268.00,39068.13,75199.87,5690561.71
2025-03-23,B005,129686.17,39051.67,90634.50,5806899.35
2025-03-24,B001,145904.29,33803.51,112100.78,8809595.84
2025-03-24,B002,135680.00,53039.94,82640.06,7347714.24
2025-03-24,B003,103880.00,48776.23,55103.77,5173858.89
2025-03-24,B004,108511.71,39864.35,68647.35,5759209.07
2025-03-24,B005,103880.00,40486.45,63393.55,5870292.91
2025-03-25,B001,135680.00,33937.53,101742.47,8911338.31
2025-03-25,B002,135680.00,49956.57,85723.43,7433437.67
2025-03-25,B003,117386.07,47120.22,70265.86,5244124.74
2025-03-25,B004,103880.00,35751.54,68128.46,5827337.53
2025-03-25,B005,103880.00,35281.96,68598.04,5938890.94
2025-03-26,B001,135680.00,31053.13,104626.87,9015965.18
2025-03-26,B002,151140.45,53745.34,97395.11,7530832.78
2025-03-26,B003,103880.00,43943.04,59936.96,5304061.71
2025-03-26,B004,103880.00,35751.54,68128.46,5895466.00
2025-03-26,B005,114227.34,42568.98,71658.37,6010549.31
2025-03-27,B001,149410.67,38065.70,111344.97,9127310.15
2025-03-27,B002,135680.00,52260.93,83419.07,7614251.85
2025-03-27,B003,103880.00,43943.04,59936.96,5363998.67
2025-03-27,B004,114437.57,42130.25,72307.32,5967773.32
2025-03-27,B005,103880.00,39161.13,64718.87,6075268.18
2025-03-28,B001,135680.00,31053.13,104626.87,9231937.02
2025-03-28,B002,135680.00,49956.57,85723.43,7699975.27
2025-03-28,B003,109079.68,45363.31,63716.38,5427715.05
2025-03-28,B004,103880.00,38500.40,65379.60,6033152.91
2025-03-28,B005,103880.00,35281.96,68598.04,6143866.22
2025-03-29,B001,149248.00,31053.13,118194.87,9350131.89
2025-03-29,B002,169721.12,54257.52,115463.60,7815438.87
2025-03-29,B003,114268.00,48918.04,65349.96,5493065.01
2025-03-29,B004,114268.00,35751.54,78516.46,6111669.38
2025-03-29,B005,121649.97,42788.01,78861.96,6222728.17
2025-03-30,B001,159960.96,36485.06,123475.90,9473607.78
2025-03-30,B002,149248.00,49956.57,99291.43,7914730.30
2025-03-30,B003,114268.00,47603.16,66664.84,5559729.85
2025-03-30,B004,132208.95,40532.43,91676.53,6203345.91
2025-03-30,B005,114268.00,35281.96,78986.04,6301714.21
2025-03-31,B001,135680.00,31053.13,104626.87,9578234.65
2025-03-31,B002,135680.00,49956.57,85723.43,8000453.73
2025-03-31,B003,119489.89,53008.41,66481.48,5626211.33
2025-03-31,B004,103880.00,35751.54,68128.46,6271474.37
2025-03-31,B005,103880.00,35281.96,68598.04,6370312.25
2025-04-01,B001,135680.00,31225.41,104454.59,9682689.24
